Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 23:01:22,2022-10-07 23:01:23,1.377s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 23:01:23,2022-10-07 23:01:24,0.352s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 23:01:29,2022-10-07 23:01:31,1.849s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 23:01:29,2022-10-07 23:01:31,1.384s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 23:01:31,2022-10-07 23:01:31,0.349s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 23:02:21,2022-10-07 23:02:23,2.047s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 23:02:21,2022-10-07 23:02:22,1.402s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 23:02:22,2022-10-07 23:02:23,0.519s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 23:02:28,2022-10-07 23:02:30,1.817s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 23:02:28,2022-10-07 23:02:30,1.352s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 23:02:30,2022-10-07 23:02:30,0.341s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 23:02:36,2022-10-07 23:02:38,1.884s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 23:02:36,2022-10-07 23:02:37,1.395s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 23:02:37,2022-10-07 23:02:38,0.353s,PASSED
,,,,,,,
Test Cases/MyAdmin/Profile/KO-3215 Verify change password failed,Chrome 105.0.0.0,,,2022-10-07 23:04:42,2022-10-07 23:04:44,1.798s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 105.0.0.0,,,2022-10-07 23:04:42,2022-10-07 23:04:44,1.344s,PASSED
Start listener action : sampleAfterTestCase,Chrome 105.0.0.0,,,2022-10-07 23:04:44,2022-10-07 23:04:44,0.338s,PASSED
