IGNORE;MATERIAL_CATEGORY;MATERIAL_GROUP;MATERIAL_NUMBER;MATERIAL_NAME;DENSITY;PRICE_PER_KILO;SYNONYMS;SHOP_TYPE
0;Stahl (legiert)||Steel (alloyed)||Steel (alloyed)||Steel (alloyed);VA;1.7131;16MNCr5;7.9;7.0;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0976;S355MC;7.85;0.73;;BOTH
1;Werkzeugstahl||Tool steel||Acciaio per utensili||Nástrojová ocel;VA;1.2312;40CrMnMoS8-6;7.85;9.0;;BOTH
1;Werkzeugstahl||Tool steel||Acciaio per utensili||Nástrojová ocel;VA;1.2343;X38CrMoV5-1;7.8;4.7;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0579;S355J2C;7.85;0.78;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0037;S235JR;7.85;1.5;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0111;P245NB;7.85;1.3;;BOTH
0;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0038;S235JRG2;7.85;4.0;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4034;X46Cr13 gehärtet 54HRC;7.8;5.2;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0122;S235JRG2+C;7.85;3.0;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0553;S355J0+N;7.85;0.78;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.3912;Ni36 Invar;8.15;35.0;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.3917;Ni42 Invar;8.15;40.0;;BOTH
